Description,Price,Rating,ReviewCount,Url
"Samsung Galaxy Book Flex 13.3” Laptop|QLED Display and Intel Core i7 Processor|8GB Memory|512GB SSD|Long Battery Life and Bluetooth-Enabled S Pen|(NP930QCG-K01US),Royal Blue","$1,199.00",4.6 out of 5 stars,232,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg11_1?ie=UTF8&adId=A047100138G24EZ3RDSRW&url=%2FSamsung-Display-Processor-Bluetooth-Enabled-NP930QCG-K01US%2Fdp%2FB085D2HHBT%2Fref%3Dsr_1_171_sspa%3Fdchild%3D1%26keywords%3Dgaming%2Blaptop%26qid%3D1616533891%26sr%3D8-171-spons%26psc%3D1&qualifier=1616533891&id=5260916203249914&widgetName=sp_mtf
"Evoo Gaming 15.6” Laptop, FHD, 60Hz, Intel Core i5-10300H Processor, NVIDIA GeForce GTX 1650, THX Spatial Audio, 256GB SSD, 8GB RAM, RGB Backlit Keyboard, HD Camera, Windows 10 Home, Black, EG-LP10-BK",$790.16,4.5 out of 5 stars,8,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg11_1?ie=UTF8&adId=A01035063BJAZARGAYOBN&url=%2FEvoo-i5-10300H-Processor-Keyboard-EG-LP10-BK%2Fdp%2FB08KV8RVJM%2Fref%3Dsr_1_172_sspa%3Fdchild%3D1%26keywords%3Dgaming%2Blaptop%26qid%3D1616533891%26sr%3D8-172-spons%26psc%3D1&qualifier=1616533891&id=5260916203249914&widgetName=sp_mtf
"2021 Newest HP 15.6"" FHD IPS Touchscreen Laptop, 10th Gen Intel i7-1065G7(Up to 3.9GHz), 16GB RAM, 512GB PCIe SSD, Intel Iris Plus Graphics, Webcam, USB-A&C, HDMI, WiFi, Win10, w/GM Accessories",$899.00,4.5 out of 5 stars,33,https://www.amazon.com/HP-Touchscreen-i7-1065G7-Graphics-Accessories/dp/B08R8T15ZM/ref=sr_1_174?dchild=1&keywords=gaming+laptop&qid=1616533891&sr=8-174
Dell Inspiron 5505 Laptop AMD Ryzen(TM) 7 4700U 8GB DDR4 256GB M.2 PCIe NVMe Solid State Drive 15.6-inch FHD (1920 x 1080) Anti-Glare LED Backlight Non-Touch Narrow Border WVA Display,$689.00,4.5 out of 5 stars,4,https://www.amazon.com/Dell-5505-15-6-inch-Anti-Glare-Backlight/dp/B08HW94QLT/ref=sr_1_175?dchild=1&keywords=gaming+laptop&qid=1616533891&sr=8-175
"Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 2060 with 6GB, 17.3"" FHD 144Hz 3ms IPS Display, 16GB Dual-Channel DDR4, 1TB NVMe SSD, WiFi 6, RGB Keyboard, PH317-54-77TH","$1,449.95",4.2 out of 5 stars,15,https://www.amazon.com/Acer-Predator-i7-10750H-Dual-Channel-PH317-54-77TH/dp/B0897CFTTG/ref=sr_1_176?dchild=1&keywords=gaming+laptop&qid=1616533891&sr=8-176
"MSI GF63 Thin 9SCX-459 15.6"" Gaming Laptop Intel Core i7-9750H GTX1650 8GB 1TB HDD Win10",$899.00,4.2 out of 5 stars,16,https://www.amazon.com/MSI-GF63-Thin-9SCX-459-i7-9750H/dp/B08CQWCWMQ/ref=sr_1_177?dchild=1&keywords=gaming+laptop&qid=1616533891&sr=8-177
"HP 15.6-inch HD Laptop, AMD Ryzen 3 3200U Processor, 8 GB RAM, 256 GB SSD, Windows 10 Home (15-ef0021nr, Natural Silver)",$499.00,4.6 out of 5 stars,330,https://www.amazon.com/HP-15-6-inch-Processor-Windows-15-ef0021nr/dp/B0876K24XJ/ref=sr_1_178?dchild=1&keywords=gaming+laptop&qid=1616533891&sr=8-178
"Acer Predator Helios 300 Gaming Laptop, 15.6"" Full HD IPS, Intel i7 CPU, 16GB DDR4 RAM, 256GB SSD, GeForce GTX 1060-6GB, VR Ready, Red Backlit KB, Metal Chassis, Windows 10 64-bit, G3-571-77QK","$1,389.00",4.3 out of 5 stars,"2,533",https://www.amazon.com/Acer-Predator-i7-7700HQ-1060-6GB-G3-571-77QK/dp/B06Y4GZS9C/ref=sr_1_179?dchild=1&keywords=gaming+laptop&qid=1616533891&sr=8-179
"2019 MSI GF75 Laptop 17.3"" 120Hz FHD Gaming Computer| 9th Gen Intel Hexa-Core i7-9750H Up to 4.5GHz| 32GB DDR4 RAM| 512GB PCIE SSD + 1TB HDD| GeForce GTX 1050 Ti 4GB| Backlit Keyboard| Win 10","$1,359.99",4.4 out of 5 stars,13,https://www.amazon.com/MSI-GF75-Computer-Hexa-Core-i7-9750H/dp/B081RM84LJ/ref=sr_1_180?dchild=1&keywords=gaming+laptop&qid=1616533891&sr=8-180
"WiFi Projector, Native 1080P Full HD Video Projector, Bluetooth Projector, FANGOR 7500 Lumens/250 Display/ Contrast 8000: 1 Theater Movie Projector with Wireless Mirror to iPhone/Ipad/Android Phones",$209.99,4.2 out of 5 stars,"1,323",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg11_1?ie=UTF8&adId=A02079723REYDGRTGTUM1&url=%2FProjector-Bluetooth-FANGOR-Display-Contrast%2Fdp%2FB07ZNXHXSM%2Fref%3Dsr_1_181_sspa%3Fdchild%3D1%26keywords%3Dgaming%2Blaptop%26qid%3D1616533891%26sr%3D8-181-spons%26psc%3D1%26smid%3DA3G6T9J13ABHB7&qualifier=1616533891&id=5260916203249914&widgetName=sp_btf
